Helyezés;Név;Ország;Év;Kategória
1;Alexander Uninsky;Soviet Union;1932;Döntő + helyezés
2;Imre Ungár;Hungary;1932;Döntő + helyezés
3;Bolesław Kon;Poland;1932;Döntő + helyezés
4;Abram Lufer;Soviet Union;1932;Döntő + helyezés
5;Lajos Kentner;Hungary;1932;Döntő + helyezés
6;Leonid Sagalov;Soviet Union;1932;Döntő + helyezés
7;Leon Boruński;Poland;1932;Döntő + helyezés
8;Teodor Gutman;Soviet Union;1932;Döntő + helyezés
9;Gyula Károlyi;Hungary;1932;Döntő + helyezés
10;Kurt Engel;Austria;1932;Döntő + helyezés
11;Emanuel Grossman;Soviet Union;1932;Döntő + helyezés
12;Josef Wagner;Germany;1932;Döntő + helyezés
13;Maryla Jonasówna;Poland;1932;Döntő + helyezés
14;Lily Herz;Hungary;1932;Döntő + helyezés
15;Suzanne de Mayère;Belgium;1932;Döntő + helyezés
1;Lev Oborin;Soviet Union;1927;Döntő + helyezés
2;Stanisław Szpinalski;Poland;1927;Döntő + helyezés
3;Róża Etkin;Poland;1927;Döntő + helyezés
4;Grigory Ginzburg;Soviet Union;1927;Döntő + helyezés
;Yuri Bryushkov;Soviet Union;1927;Egyéb díjazott
;Jakob Gimpel;Poland;1927;Egyéb díjazott
;Gui Mombaerts;Belgium;1927;Egyéb díjazott
;Leopold Münzer;Poland;1927;Egyéb díjazott
;Theo van der Pas;Netherlands;1927;Egyéb díjazott
;Edward Prażmowski;Poland;1927;Egyéb díjazott
;Dmitri Shostakovich;Soviet Union;1927;Egyéb díjazott
;Bolesław Woytowicz;Poland;1927;Egyéb díjazott
1;Yakov Zak;Soviet Union;1937;Döntő + helyezés
2;Rosa Tamarkina;Soviet Union;1937;Döntő + helyezés
3;Witold Małcużyński;Poland;1937;Döntő + helyezés
4;Lance Dossor;United Kingdom;1937;Döntő + helyezés
5;Agi Jambor;Hungary;1937;Döntő + helyezés
6;Edith Axenfeld;Germany;1937;Döntő + helyezés
7;Monique de La Bruchollerie;France;1937;Döntő + helyezés
8;Jan Ekier;Poland;1937;Döntő + helyezés
9;Tatiana Goldfarb;Soviet Union;1937;Döntő + helyezés
10;Olga Iliwicka;Poland;1937;Döntő + helyezés
11;Pierre Maillard-Verger;France;1937;Döntő + helyezés
